,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
85,Analysis/Voice/2025/04/07/e5440692-4cd3-4e72-9af2-e60abebe5c40_analysis_2025-04-07T21:41:02Z.json,e5440692-4cd3-4e72-9af2-e60abebe5c40,2025-04-07 21:41:02,2025-04-07,21:41:02,2025-04-07 21:45:03+00:00,2025-04-07,21:45:03,2025-04-07 20:00:00
84,Analysis/Voice/2025/04/07/550ba547-7c58-47f6-9442-bdfa15b3bae7_analysis_2025-04-07T21:40:42Z.json,550ba547-7c58-47f6-9442-bdfa15b3bae7,2025-04-07 21:40:42,2025-04-07,21:40:42,2025-04-07 21:48:03+00:00,2025-04-07,21:48:03,2025-04-07 20:00:00
83,Analysis/Voice/2025/04/07/9c8f280e-2acd-489c-9441-eff50ab26609_analysis_2025-04-07T21:40:16Z.json,9c8f280e-2acd-489c-9441-eff50ab26609,2025-04-07 21:40:16,2025-04-07,21:40:16,2025-04-07 21:47:07+00:00,2025-04-07,21:47:07,2025-04-07 20:00:00
82,Analysis/Voice/2025/04/07/324632c3-b03e-4a35-960d-d8f0d106e7e3_analysis_2025-04-07T21:40:04Z.json,324632c3-b03e-4a35-960d-d8f0d106e7e3,2025-04-07 21:40:04,2025-04-07,21:40:04,2025-04-07 21:45:27+00:00,2025-04-07,21:45:27,2025-04-07 20:00:00
81,Analysis/Voice/2025/04/07/be3610f8-d119-45f1-bfc4-3fa7f1ef9f33_analysis_2025-04-07T21:39:37Z.json,be3610f8-d119-45f1-bfc4-3fa7f1ef9f33,2025-04-07 21:39:37,2025-04-07,21:39:37,2025-04-07 21:45:31+00:00,2025-04-07,21:45:31,2025-04-07 20:00:00
80,Analysis/Voice/2025/04/07/eed23f66-9800-4428-8f15-d57129f1dfe3_analysis_2025-04-07T21:39:30Z.json,eed23f66-9800-4428-8f15-d57129f1dfe3,2025-04-07 21:39:30,2025-04-07,21:39:30,2025-04-07 21:45:37+00:00,2025-04-07,21:45:37,2025-04-07 20:00:00
79,Analysis/Voice/2025/04/07/7197bcad-7dcb-4ad5-b1d2-a0a06dc3e49d_analysis_2025-04-07T21:39:11Z.json,7197bcad-7dcb-4ad5-b1d2-a0a06dc3e49d,2025-04-07 21:39:11,2025-04-07,21:39:11,2025-04-07 21:47:01+00:00,2025-04-07,21:47:01,2025-04-07 20:00:00
78,Analysis/Voice/2025/04/07/772a4737-2678-4735-8453-8b1326d6f51d_analysis_2025-04-07T21:36:56Z.json,772a4737-2678-4735-8453-8b1326d6f51d,2025-04-07 21:36:56,2025-04-07,21:36:56,2025-04-07 21:41:26+00:00,2025-04-07,21:41:26,2025-04-07 20:00:00
77,Analysis/Voice/2025/04/07/2fca56a3-a646-465f-8f20-1902d4e5d016_analysis_2025-04-07T21:36:04Z.json,2fca56a3-a646-465f-8f20-1902d4e5d016,2025-04-07 21:36:04,2025-04-07,21:36:04,2025-04-07 21:41:02+00:00,2025-04-07,21:41:02,2025-04-07 20:00:00
76,Analysis/Voice/2025/04/07/d7fd369d-3368-4b51-90ed-9ce829e5b926_analysis_2025-04-07T21:35:44Z.json,d7fd369d-3368-4b51-90ed-9ce829e5b926,2025-04-07 21:35:44,2025-04-07,21:35:44,2025-04-07 21:40:00+00:00,2025-04-07,21:40:00,2025-04-07 20:00:00
